Date,series,OPEN,HIGH,LOW,Previous_Close_Rate,ltp,Close_Rate,vwap,52W_H,52W_L,VOLUME,VALUE,No_of_trades,Daily_Change,7-Day_SMA,30-Day_SMA
10 October 2024,EQ,"4,253.25","4,293.85","4,198.60","4,252.95","4,227.90","4,227.40","4,242.82","4,592.25","3,311.00",2378875.00,10093143863.45,176710.00,-0.006007595,"4,255.98","4,312.23"
09 October 2024,EQ,"4,260.00","4,295.00","4,246.70","4,253.25","4,258.95","4,252.95","4,267.11","4,592.25","3,311.00",1082504.00,4619161345.70,102574.00,-7.05343E-05,"4,266.14","4,327.51"
08 October 2024,EQ,"4,272.60","4,279.40","4,203.95","4,272.85","4,259.40","4,253.25","4,239.02","4,592.25","3,311.00",1541867.00,6536012531.70,163898.00,-0.004587102,"4,271.09","4,339.42"
07 October 2024,EQ,"4,273.90","4,297.25","4,229.40","4,252.25","4,274.00","4,272.85","4,263.80","4,592.25","3,311.00",1472619.00,6278960109.95,117843.00,0.004844494,"4,273.78","4,352.82"
04 October 2024,EQ,"4,225.00","4,298.00","4,224.05","4,232.75","4,251.90","4,252.25","4,256.15","4,592.25","3,311.00",2965463.00,12621465329.55,194588.00,0.004606934,"4,273.58","4,362.12"
03 October 2024,EQ,"4,262.60","4,279.00","4,210.00","4,287.90","4,232.50","4,232.75","4,233.39","4,592.25","3,311.00",3350119.00,14182364569.60,168212.00,-0.012861774,"4,275.61","4,372.88"
01 October 2024,EQ,"4,255.55","4,295.75","4,242.95","4,268.50","4,283.25","4,287.90","4,271.73","4,592.25","3,311.00",1823365.00,7788915830.70,121772.00,0.004544922,"4,282.13","4,385.68"
30 September 2024,EQ,"4,286.90","4,298.75","4,260.05","4,308.70","4,271.00","4,268.50","4,272.29","4,592.25","3,311.00",2503416.00,10695320177.30,212084.00,-0.00932996,"4,283.16","4,395.76"
27 September 2024,EQ,"4,335.00","4,378.00","4,300.05","4,292.50","4,305.00","4,308.70","4,327.38","4,592.25","3,311.00",3012477.00,13036144375.45,231071.00,0.003774024,"4,292.87","4,408.59"
26 September 2024,EQ,"4,260.00","4,316.80","4,260.00","4,274.75","4,295.00","4,292.50","4,288.28","4,592.25","3,311.00",3964251.00,16999820745.85,185888.00,0.00415229,"4,317.49","4,419.77"
25 September 2024,EQ,"4,252.35","4,289.60","4,240.00","4,271.30","4,275.35","4,274.75","4,263.61","4,592.25","3,311.00",2713073.00,11567483701.95,153942.00,0.000807717,"4,345.08","4,433.52"
24 September 2024,EQ,"4,251.65","4,291.00","4,240.00","4,268.50","4,282.00","4,271.30","4,265.03","4,592.25","3,311.00",3012026.00,12846372402.70,140428.00,0.000655968,"4,376.06","4,445.99"
23 September 2024,EQ,"4,300.00","4,309.40","4,253.00","4,284.90","4,266.05","4,268.50","4,270.40","4,592.25","3,311.00",1702319.00,7269588108.95,169788.00,-0.003827394,"4,406.86","4,458.35"
20 September 2024,EQ,"4,316.90","4,330.70","4,227.50","4,296.15","4,295.00","4,284.90","4,278.76","4,592.25","3,311.00",5447908.00,23310316503.10,291115.00,-0.002618624,"4,433.22","4,470.38"
19 September 2024,EQ,"4,390.05","4,422.20","4,281.80","4,346.15","4,307.00","4,296.15","4,321.08","4,592.25","3,311.00",2927551.00,12650187150.25,232656.00,-0.011504435,"4,461.09","4,481.83"
18 September 2024,EQ,"4,497.05","4,497.05","4,321.00","4,505.65","4,347.90","4,346.15","4,370.07","4,592.25","3,311.00",2961779.00,12943188817.60,244673.00,-0.035399998,"4,480.26","4,490.66"
17 September 2024,EQ,"4,513.25","4,535.80","4,466.00","4,513.25","4,511.00","4,505.65","4,505.75","4,592.25","3,311.00",1699364.00,7656902882.20,88562.00,-0.001683931,"4,494.09","4,498.86"
16 September 2024,EQ,"4,527.00","4,546.05","4,494.45","4,522.60","4,509.00","4,513.25","4,516.51","4,592.25","3,311.00",1155120.00,5217113716.25,61456.00,-0.002067395,"4,490.38","4,501.28"
13 September 2024,EQ,"4,530.00","4,547.00","4,505.00","4,517.70","4,521.75","4,522.60","4,526.87","4,592.25","3,311.00",1458786.00,6603740972.90,78892.00,0.001084623,"4,486.13","4,501.81"
12 September 2024,EQ,"4,510.25","4,532.60","4,431.30","4,479.35","4,495.30","4,517.70","4,485.01","4,592.25","3,311.00",2742216.00,12298852603.60,179765.00,0.00856151,"4,484.84","4,500.09"
